event_id,user_id,session_id,timestamp,event_type,product_id,category,price,quantity,device,is_new_user,city
1,100001,S100001_750213,2026-02-28 00:32:00,app_open,,,,,iOS,True,Delhi NCR
2,100001,S100001_750213,2026-02-28 00:32:27,search,2043.0,Dairy & Breakfast,87.54,,iOS,True,Delhi NCR
3,100001,S100001_282620,2026-03-21 07:54:00,app_open,,,,,Android,False,Delhi NCR
4,100001,S100001_282620,2026-03-21 07:54:10,search,2057.0,Snacks & Beverages,181.61,,Android,False,Delhi NCR
5,100001,S100001_282620,2026-03-21 07:55:03,product_view,2184.0,Electronics,2451.1,,Android,False,Delhi NCR
6,100001,S100001_282620,2026-03-21 07:57:27,add_to_cart,2184.0,Electronics,2451.1,1.0,Android,False,Delhi NCR
7,100001,S100001_282620,2026-03-21 07:58:13,checkout_start,,,,,Android,False,Delhi NCR
8,100001,S100001_282620,2026-03-21 07:59:13,payment_attempt,,,,,Android,False,Delhi NCR
9,100001,S100001_282620,2026-03-21 07:59:40,purchase,2184.0,Electronics,2451.1,1.0,Android,False,Delhi NCR
10,100002,S100002_379713,2026-01-10 23:25:00,app_open,,,,,Android,True,Delhi NCR
11,100003,S100003_898310,2026-02-28 11:42:00,app_open,,,,,Android,True,Mumbai
12,100003,S100003_898310,2026-02-28 11:42:21,search,2121.0,Household Care,544.68,,Android,True,Mumbai
13,100004,S100004_799162,2026-01-25 11:38:00,app_open,,,,,Android,True,Mumbai
14,100004,S100004_799162,2026-01-25 11:38:06,search,2047.0,Dairy & Breakfast,157.61,,Android,True,Mumbai
15,100004,S100004_311354,2026-01-03 03:53:00,app_open,,,,,Android,False,Bengaluru
16,100004,S100004_311354,2026-01-03 03:53:55,search,2011.0,Fruits & Vegetables,175.37,,Android,False,Bengaluru
17,100004,S100004_940448,2026-02-06 13:24:00,app_open,,,,,Web,False,Pune
18,100004,S100004_940448,2026-02-06 13:24:32,search,2162.0,Baby Care,570.72,,Web,False,Pune
19,100004,S100004_940448,2026-02-06 13:25:04,product_view,2041.0,Dairy & Breakfast,183.12,,Web,False,Pune
20,100005,S100005_114813,2026-01-09 01:06:00,app_open,,,,,Web,True,Hyderabad
21,100005,S100005_114813,2026-01-09 01:06:59,search,2028.0,Dairy & Breakfast,160.87,,Web,True,Hyderabad
22,100005,S100005_114813,2026-01-09 01:07:10,product_view,2188.0,Electronics,291.11,,Web,True,Hyderabad
23,100005,S100005_114813,2026-01-09 01:08:16,add_to_cart,2188.0,Electronics,291.11,1.0,Web,True,Hyderabad
24,100005,S100005_114813,2026-01-09 01:11:22,checkout_start,,,,,Web,True,Hyderabad
25,100005,S100005_114813,2026-01-09 01:11:43,payment_attempt,,,,,Web,True,Hyderabad
26,100005,S100005_114813,2026-01-09 01:12:36,purchase,2188.0,Electronics,291.11,1.0,Web,True,Hyderabad
27,100006,S100006_350811,2026-03-30 07:22:00,app_open,,,,,iOS,True,Hyderabad
28,100006,S100006_317869,2026-02-08 03:34:00,app_open,,,,,Android,False,Kolkata
29,100006,S100006_317869,2026-02-08 03:34:37,search,2142.0,Staples,269.24,,Android,False,Kolkata
30,100007,S100007_882921,2026-01-01 17:32:00,app_open,,,,,Android,True,Hyderabad
31,100007,S100007_882921,2026-01-01 17:32:54,search,2092.0,Personal Care,180.48,,Android,True,Hyderabad
32,100007,S100007_882921,2026-01-01 17:33:44,product_view,2037.0,Dairy & Breakfast,153.94,,Android,True,Hyderabad
33,100008,S100008_539702,2026-03-21 15:15:00,app_open,,,,,Android,True,Pune
34,100008,S100008_539702,2026-03-21 15:15:12,search,2018.0,Fruits & Vegetables,87.43,,Android,True,Pune
35,100009,S100009_367872,2026-02-04 23:00:00,app_open,,,,,Android,True,Kolkata
36,100009,S100009_367872,2026-02-04 23:00:14,search,2179.0,Electronics,2047.44,,Android,True,Kolkata
37,100009,S100009_465095,2026-01-28 19:14:00,app_open,,,,,Android,False,Pune
38,100009,S100009_465095,2026-01-28 19:14:51,search,2166.0,Baby Care,128.26,,Android,False,Pune
39,100009,S100009_465095,2026-01-28 19:16:34,product_view,2193.0,Electronics,1208.52,,Android,False,Pune
40,100010,S100010_493052,2026-03-23 19:25:00,app_open,,,,,iOS,True,Bengaluru
41,100010,S100010_493052,2026-03-23 19:25:36,search,2041.0,Dairy & Breakfast,183.12,,iOS,True,Bengaluru
42,100010,S100010_493052,2026-03-23 19:26:54,product_view,2157.0,Baby Care,964.59,,iOS,True,Bengaluru
43,100010,S100010_493052,2026-03-23 19:29:18,add_to_cart,2157.0,Baby Care,964.59,1.0,iOS,True,Bengaluru
44,100010,S100010_493052,2026-03-23 19:31:27,checkout_start,,,,,iOS,True,Bengaluru
45,100010,S100010_493052,2026-03-23 19:31:38,payment_attempt,,,,,iOS,True,Bengaluru
46,100010,S100010_493052,2026-03-23 19:32:01,purchase,2157.0,Baby Care,964.59,1.0,iOS,True,Bengaluru
47,100010,S100010_520929,2026-01-31 06:52:00,app_open,,,,,Android,False,Hyderabad
48,100010,S100010_520929,2026-01-31 06:52:41,search,2079.0,Personal Care,75.12,,Android,False,Hyderabad
49,100010,S100010_520929,2026-01-31 06:54:34,product_view,2117.0,Household Care,112.93,,Android,False,Hyderabad
50,100010,S100010_520929,2026-01-31 06:57:12,add_to_cart,2117.0,Household Care,112.93,1.0,Android,False,Hyderabad
51,100010,S100010_520929,2026-01-31 07:01:10,checkout_start,,,,,Android,False,Hyderabad
52,100010,S100010_520929,2026-01-31 07:02:35,payment_attempt,,,,,Android,False,Hyderabad
53,100010,S100010_520929,2026-01-31 07:03:25,purchase,2117.0,Household Care,112.93,1.0,Android,False,Hyderabad
54,100011,S100011_927121,2026-01-14 05:49:00,app_open,,,,,Android,True,Pune
55,100011,S100011_927121,2026-01-14 05:49:14,search,2106.0,Household Care,100.79,,Android,True,Pune
56,100011,S100011_927121,2026-01-14 05:49:38,product_view,2010.0,Fruits & Vegetables,81.76,,Android,True,Pune
57,100011,S100011_927121,2026-01-14 05:51:03,add_to_cart,2010.0,Fruits & Vegetables,81.76,1.0,Android,True,Pune
58,100011,S100011_580768,2026-02-23 13:43:00,app_open,,,,,iOS,False,Bengaluru
59,100011,S100011_580768,2026-02-23 13:43:08,search,2128.0,Staples,499.01,,iOS,False,Bengaluru
60,100011,S100011_580768,2026-02-23 13:43:33,product_view,2057.0,Snacks & Beverages,181.61,,iOS,False,Bengaluru
61,100011,S100011_595129,2026-02-25 16:55:00,app_open,,,,,Android,False,Hyderabad
62,100011,S100011_595129,2026-02-25 16:55:35,search,2011.0,Fruits & Vegetables,175.37,,Android,False,Hyderabad
63,100011,S100011_595129,2026-02-25 16:56:11,product_view,2064.0,Snacks & Beverages,46.16,,Android,False,Hyderabad
64,100012,S100012_404546,2026-03-08 20:43:00,app_open,,,,,iOS,True,Delhi NCR
65,100012,S100012_404546,2026-03-08 20:43:25,search,2006.0,Fruits & Vegetables,150.67,,iOS,True,Delhi NCR
66,100012,S100012_404546,2026-03-08 20:45:16,product_view,2113.0,Household Care,551.44,,iOS,True,Delhi NCR
67,100012,S100012_404546,2026-03-08 20:46:26,add_to_cart,2113.0,Household Care,551.44,1.0,iOS,True,Delhi NCR
68,100012,S100012_404546,2026-03-08 20:49:47,checkout_start,,,,,iOS,True,Delhi NCR
69,100012,S100012_404546,2026-03-08 20:50:46,payment_attempt,,,,,iOS,True,Delhi NCR
70,100012,S100012_404546,2026-03-08 20:51:41,purchase,2113.0,Household Care,551.44,1.0,iOS,True,Delhi NCR
71,100013,S100013_308840,2026-03-06 01:25:00,app_open,,,,,Web,True,Delhi NCR
72,100013,S100013_308840,2026-03-06 01:25:53,search,2005.0,Fruits & Vegetables,89.69,,Web,True,Delhi NCR
73,100013,S100013_308840,2026-03-06 01:27:45,product_view,2064.0,Snacks & Beverages,46.16,,Web,True,Delhi NCR
74,100014,S100014_231101,2026-03-01 09:52:00,app_open,,,,,Android,True,Mumbai
75,100014,S100014_231101,2026-03-01 09:52:43,search,2152.0,Baby Care,437.04,,Android,True,Mumbai
76,100014,S100014_231101,2026-03-01 09:53:24,product_view,2007.0,Fruits & Vegetables,166.72,,Android,True,Mumbai
77,100014,S100014_231101,2026-03-01 09:55:42,add_to_cart,2007.0,Fruits & Vegetables,166.72,2.0,Android,True,Mumbai
78,100015,S100015_648016,2026-03-20 04:58:00,app_open,,,,,iOS,True,Delhi NCR
79,100016,S100016_397809,2026-03-20 02:17:00,app_open,,,,,iOS,True,Mumbai
80,100016,S100016_397809,2026-03-20 02:17:36,search,2173.0,Baby Care,715.67,,iOS,True,Mumbai
81,100016,S100016_397809,2026-03-20 02:18:00,product_view,2046.0,Dairy & Breakfast,138.48,,iOS,True,Mumbai
82,100016,S100016_397809,2026-03-20 02:20:06,add_to_cart,2046.0,Dairy & Breakfast,138.48,1.0,iOS,True,Mumbai
83,100016,S100016_397809,2026-03-20 02:21:52,checkout_start,,,,,iOS,True,Mumbai
84,100016,S100016_397809,2026-03-20 02:22:55,payment_attempt,,,,,iOS,True,Mumbai
85,100016,S100016_397809,2026-03-20 02:23:48,purchase,2046.0,Dairy & Breakfast,138.48,1.0,iOS,True,Mumbai
86,100017,S100017_237523,2026-03-16 22:14:00,app_open,,,,,Android,True,Pune
87,100017,S100017_237523,2026-03-16 22:14:11,search,2036.0,Dairy & Breakfast,238.3,,Android,True,Pune
88,100017,S100017_237523,2026-03-16 22:15:50,product_view,2016.0,Fruits & Vegetables,155.63,,Android,True,Pune
89,100017,S100017_965247,2026-01-02 05:51:00,app_open,,,,,iOS,False,Mumbai
90,100017,S100017_965247,2026-01-02 05:51:16,search,2152.0,Baby Care,437.04,,iOS,False,Mumbai
91,100018,S100018_175552,2026-03-13 14:50:00,app_open,,,,,Android,True,Hyderabad
92,100018,S100018_768799,2026-01-24 13:59:00,app_open,,,,,Android,False,Pune
93,100018,S100018_768799,2026-01-24 13:59:10,search,2021.0,Fruits & Vegetables,113.61,,Android,False,Pune
